Source,dist,R90_median (au),R90_err_16th (au),R90_err_84th (au),R68_median (au),R68_err_16th (au),R68_err_84th (au),inc (°),inc_err_16th (°),inc_err_84th (°),PA (°),PA_err_16th (°),PA_err_84th (°),M_star (Msun),M_star_err_16th (Msun),M_star_err_84th (Msun),r_l_median (au),r_l_err_16th (au),r_l_err_84th (au),z_1_median (''),z_1_err_16th (''),z_1_err_84th (''),z_q_median,z_q_err_16th,z_q_err_84th,T_10_median (K),T_10_err_16th (K),T_10_err_84th (K),T_q_median,T_q_err_16th,T_q_err_84th,tau_tap_median (au),tau_tap_err_16th (au),tau_tap_err_84th (au),tau_exp_median (au),tau_exp_err_16th (au),tau_exp_err_84th (au),tau_10_median,tau_10_err_16th,tau_10_err_84th,tau_q_median,tau_q_err_16th,tau_q_err_84th,z_exp_median,z_exp_err_16th,z_exp_err_84th,vsys (m/s),vsys_err_16th (m/s),vsys_err_84th (m/s),dRA (''),dRA_err_16th (''),dRA_err_84th (''),dDEC (''),dDEC_err_16th (''),dDEC_err_84th ('')
2MASS_J16123916-1859284,134.7,118.38867187499999,0.65771484375,0.0,87.47607421874999,0.0,0.0,59.638522225667515,0.04619383349021433,0.04476358275275061,286.22164032984415,0.05515738124455538,0.03853299960212553,0.6033788135820232,0.0009978195270973211,0.000730897070560399,107.63059343058286,0.02911758494037997,0.02640080189465266,0.2941325162095909,0.0014601326273918636,0.0014145214702466768,2.4159311460536954,0.0057638168986948735,0.0047884425425333,142.03051924729465,0.28049166296278827,0.21728336258419745,-0.8568146069877283,0.0007613672372818181,0.0005903974066697737,96.61694583975265,0.2915317299691367,0.3469290484600833,4.500284450565815,0.03525548057803274,0.036689882400860796,1.6181410142036527,0.014070327412391226,0.013532786891809812,-0.0013620201806320803,0.0010791102229269667,0.0007972183939917697,9.99740701868012,0.0019238234318166292,0.0014795613630980142,4452.900711306953,1.3742170019941113,1.0510470971275936,-0.23775752820444038,0.00024069007733926173,0.00020414230912327302,-0.33245951691627096,0.0002456987168286684,0.00016820983508081255
2MASS_J16132190-2136136,144.8,47.37109375000001,1.5271875000000037,2.12109375,32.876953125,1.0605468749999964,1.060546875,39.16147241010172,1.8869993889177081,1.8598250934499632,196.96929494843823,2.2845660320929255,1.5308901731788183,0.5896410369346892,0.051986521596424806,0.058381091908659366,100.07133563504605,5.58778425785701,4.981529003877455,0.36512340014841305,0.04449938771504358,0.02466584286508894,1.1291097701150223,0.053853700168928986,0.06397612915481554,61.245874150436144,2.0373679267799574,2.1314595063474826,-0.5242331659637867,0.04560983907707761,0.04612118361642886,98.23537964377313,5.32116587790361,6.246561701392778,2.755497096403074,1.23161383778501,2.0012949074724755,2.7212953979380896,0.21886211632106045,0.1562792906016024,-4.7834690581176575,0.16126961319698108,0.30818040696946714,5.820444281484738,2.9922694076438705,2.6571789477070364,5612.665689527909,30.173533254216636,41.34786022345179,-0.1432580825544339,0.004111589074825284,0.0044757295960527466,-0.6012418956801797,0.003969182930331661,0.0034464878862840997
2MASS_J16140792-1938292,159.5,88.00537109375,0.77880859375,0.77880859375,71.650390625,0.77880859375,0.0,37.28848120173109,0.692033634544643,0.68360578108053,-4.396950921876428,0.22909195847911157,0.20163814007338932,1.1953022903343886,0.0293406751957328,0.033876865806076184,135.42309985514586,6.675480057405025,6.096294830580177,0.35069529171310276,0.029812688922458364,0.025204070988248395,1.6539710332503983,0.05737290161311903,0.048579735834062276,92.93791734930603,1.5786535069729695,1.3378130609497987,-0.5469925792980372,0.00920550463640668,0.009131418719977025,75.0974339965835,0.7611061324120669,0.5398234812872573,9.753025105232355,0.41009225536129,0.17244053861494812,3.976882002957252,0.038150518045251935,0.016719954179816643,-0.031786270049565725,0.04967653324247046,0.02285755467012387,7.762256636348125,1.505796751416824,1.2786723090258647,7235.235929447069,4.440282452549582,4.995485359271697,-0.12021521822021301,0.0012704969590281306,0.0011555102761867247,-0.3153984995595027,0.001035463492301214,0.0009032535145836462
2MASS_J16142091-1906051,135.3,142.69921875,1.98193359375,1.426992187499991,102.39990234375001,1.3212890625,1.3212890625,62.587672926527446,0.207675798192696,0.21836714141070246,82.21032117717475,0.09360364503235985,0.08454217086759286,0.6125803678523367,0.005303788843054713,0.003609776753923266,110.91371208842733,0.6135938346652949,0.4833256545072402,0.3785640264187853,0.0022373857819966703,0.001054927000185224,1.1334612586782975,0.004316069054480565,0.00288351942405507,163.55890648851727,0.8742685723165948,0.8454384322966746,-0.9083598226420665,0.0035302535162381465,0.003261351994656936,109.77109578646113,2.1542698433630534,2.3936985236209694,6.30176109662393,0.29815587137494415,0.33112473660472475,4.974456689468941,0.01728453273565389,0.0142357990559967,-0.03694871932815084,0.03234904531694579,0.025612290375624378,5.3154789032283976,0.0842409756292044,0.08948359267684669,4084.2364016206966,6.277167702362931,7.638694787186523,-0.289149631931254,0.0009984715826819035,0.0010562297516027441,-0.5686846395314618,0.0006222971144523859,0.0007796458107647286
2MASS_J16145024-2100599,138.5,96.0302734375,1.3525390625,0.7844726562500028,71.6845703125,0.67626953125,0.67626953125,43.122309186255215,0.7231825924296302,0.9132985868019574,163.21876659001117,0.32105983705992003,0.26601784961292196,0.6693507440763474,0.017217684121450194,0.014769744040972532,125.16323626785545,4.545477974425367,5.08507625554229,0.1558619099096074,0.018712301165995482,0.020532287460763382,1.4523450581464104,0.07599998003904429,0.07453496437035656,100.25081226873348,2.3184033335165424,1.521814201161817,-0.8193098596265349,0.009361337283861015,0.010624204727483155,85.09249998199464,1.220570250729395,1.1067788041808768,9.642572256458322,0.49681140082144104,0.26738811051789213,3.9379527850500073,0.09777697074040992,0.046451126591193326,-0.06549091924698378,0.1310619105017299,0.04809069518476671,7.662600002386119,1.7262669672353672,1.6173626434515178,3886.013657071953,5.8431608723522,5.954484346590107,-0.12360808654500322,0.0016499472137678772,0.0016629004995311059,-0.6205314742923018,0.001407146228173728,0.0013760564899348848
2MASS_J16152752-1847097,137.3,186.37402343750003,0.67041015625,0.67041015625,150.171875,0.67041015625,0.0,65.46127486695114,0.08228163888817619,0.07970881296155596,162.17427109861762,0.08051331603721223,0.0656455277439818,0.5921456410596466,0.0020356749686777365,0.002868447203262625,174.22120145167708,0.2992211619401246,0.26086822628192863,0.26759846762043743,0.001115909865673781,0.002554163325627412,1.3315959434958111,0.006689326171148924,0.008612741902109367,106.30110064990242,0.691852900934137,0.3763524445436559,-0.5588942223960484,0.0012589192326929455,0.0028047926412084756,157.34983898541483,0.7461523840741506,0.563767603269639,9.88399930860086,0.08435149006561993,0.06388703456262057,4.975794266277485,0.03448600351561204,0.01923953125591371,-0.017364069536290723,0.012540825002216684,0.010634403915769372,9.420966852251997,0.22294105585579516,0.14631667371259738,4555.000171989418,2.035823432320285,2.426892652092647,-0.24368465195463745,0.0014060075664440452,0.0011899757081215434,-0.36422169602086546,0.000874256113029992,0.0009909840313470641
2MASS_J16181445-2319251,137.7,37.988525390625,3.025634765625,3.025634765625,23.532714843749996,1.3447265625,2.01708984375,45.24248902984836,1.4184585361796849,2.09105756289879,154.23764499784727,1.8169769186391704,1.7049519812301526,0.21187564683900678,0.016757958646941712,0.020169926712359676,111.40227507425146,5.4439375921348585,5.400582130604633,0.1279441623163178,0.04481401608061461,0.08856263137075576,1.2620091716336348,0.10659156851676288,0.08846206374617771,68.69322555176015,4.748671268133357,5.172476581907148,-0.6449222749753161,0.057682034826946005,0.055857044009415824,109.97432488901818,4.892814710301153,5.167282245131489,3.465868370576218,2.1494919935619556,3.4547688765808875,1.4049381134980483,0.19778008558120042,0.2297486907735935,-3.724524134717182,0.18422654041909992,0.3213591930070572,4.49893363584283,2.359320173309359,3.3405576717230065,3881.465533481532,38.996394681975744,33.892828131673014,-0.14904532473153362,0.005116698493785016,0.005308894243734097,-0.5363347839918652,0.00506481363606226,0.004227138697274091
2MASS_J16185382-2053182,131,32.94189453125,0.95947265625,0.95947265625,22.3876953125,0.6396484375,0.6396484375,34.49202918654664,2.8154917425705897,3.197003789424528,173.16814591106132,1.6167717598320905,5.267255684847839,2.494378761435285,0.3065182307948242,0.48182202485481174,105.39092016153431,7.463624822320867,6.783449014504711,0.18397940234655963,0.0493663523512432,0.06649785969767796,1.3600127585908877,0.06973662702315431,0.08650099689679269,120.30931418122046,4.9054853720267175,6.2413976607934245,-0.8441270840641526,0.047054309021401064,0.03713367679594948,100.06739303916817,6.2340826812420715,6.1792820394525165,2.5705138738077107,1.0158807151451177,1.3027932537938884,2.1279871750898636,0.1301195828416648,0.10596928755751689,-4.848861878583564,0.11368923267849329,0.206987899089893,6.643744687655871,2.7184331581988523,1.9670185034030796,8532.843080901514,63.406475462450544,55.01668329021777,-0.38892871285089803,0.001982455793578475,0.002264585895653759,-0.3732964200937041,0.0018182836336051444,0.0021307701234360987
2MASS_J16202291-2227041,142,84.58984375,3.466796875,4.2710937499999915,65.869140625,2.080078125,2.7734375,72.97455652857026,1.25746334091518,1.0529274536958866,72.22886358556306,1.0031285764318767,1.0152182329808426,0.39186369819024236,0.013122283603725027,0.01703854725973475,110.4549760651953,5.629556470725532,5.335792758881823,0.07759183650253898,0.03688487559672634,0.04934404930565972,1.2811917418976249,0.09382455473985996,0.08910537769273041,61.644624473422375,5.134243112551147,4.830280511201387,-0.5041923391720315,0.052648506802173256,0.04782178700182088,86.84457646795937,5.276012588346816,6.813948373677576,7.552903733333791,2.3655879699995443,1.5271729832943937,1.5504116659222327,0.44843717126670724,0.9635242213037356,-1.275510527209244,1.1642122826651113,0.6318747087831342,5.396822711870295,3.5969682147840256,2.9992120005373666,3174.1613422083833,33.78426648684899,36.611145189845956,-0.18732863203040095,0.00874937966071515,0.0076509618265059864,-0.4156817483497354,0.004115018002831761,0.0056815660813344104
2MASS_J16202863-2442087,152.7,175.962890625,0.74560546875,0.74560546875,140.91943359375,0.74560546875,1.4912109375,40.71940557456231,0.5450251710354337,0.475145552967426,180.57098481806042,0.17266559862821396,0.14859613531942273,0.7208113297669962,0.011225372416820423,0.012795702512608975,163.4569702403416,1.3948679562761015,1.6704878438248727,0.37617842057671264,0.012779054123578049,0.010706949498545504,1.5694120102919047,0.08099748746959601,0.03958328083193052,57.54396438045797,1.7577420436284257,1.1732786999472395,-0.49600203894022193,0.008168731840521082,0.011939568175740212,148.48251462919043,0.9268020004627431,0.7842215116099567,9.900355612384596,0.17138503620336287,0.07231707278717714,4.988467645404265,0.013930024019056297,0.00821578407593826,-0.007311275507477569,0.012627983263800165,0.005493700001530171,8.25374583813384,0.9683547080730452,1.1514020880060123,3880.038734767122,2.1651804302327946,2.316864628696294,-0.11541484012297329,0.0014540492497910618,0.0013052076224394082,-0.32823858063652434,0.0013056887703529196,0.001082746269551793
2MASS_J16203960-2634284,148.3,215.06396484375003,0.72412109375,0.72412109375,165.099609375,0.72412109375,0.0,62.47197511595615,0.13345705319350287,0.12493041263572735,42.170363558552445,0.106427602435744,0.12135513101078743,0.5541281343281896,0.0015296415660013274,0.0013231716699331209,208.77903819561635,1.0466311981640501,0.9933898054937629,0.282150642164707,0.0036034038192437334,0.0034047090510662126,1.1580575208604544,0.007032342853884321,0.00668747654355939,139.2051179119176,0.8067998516931993,0.8860064714218936,-0.7153970583095157,0.002851915480947098,0.0026557051537638987,188.52872005100176,1.2032018852634678,1.0490806858292672,9.646654428416431,0.24590939738176587,0.18771181391059422,3.977821759146888,0.018190036606801296,0.014241013305075434,-0.025609523380833082,0.014161677566560851,0.014153741027670377,6.113915461704525,0.4122599736098369,0.40414725726335465,3945.8954133346547,2.565230065984906,2.541650753102658,-0.17566161515559575,0.0009802014914400414,0.0010258279474482102,-0.2483426162954423,0.000724290873628991,0.0007368732964684876
2MASS_J16213469-2612269,150.8,105.29492187500001,0.736328125,1.47265625,87.623046875,1.47265625,0.736328125,47.81135530072468,0.4620414217238391,0.3723300995039551,44.02979415367719,0.198557987947396,0.17108215560303108,0.9814028812766974,0.009523768387368126,0.009942124441397304,106.58902091982009,1.5575947966024728,1.1445318982014356,0.1568185850026872,0.016728657780599315,0.021017405091603186,1.4044403688501053,0.08986212763433965,0.07831636328986091,50.26966492458809,1.7001110503582808,1.4128753653875492,-0.38877147541206347,0.013279988970724799,0.015887809542025677,92.04239205639372,4.188781303594965,4.168055285602719,14.932755398029942,2.678988365857764,4.782923867939699,9.01615892231686,0.6489671385310558,1.0933764173211173,0.3250276380536832,1.1088094205418577,0.5230988561811389,34.79452834947465,10.201424138210868,10.680658590444345,5381.60789150259,5.266266091573925,4.266568684261074,-0.04200053308797353,0.0012276990468627486,0.001216789867499006,-0.38548865246991515,0.0010182947166372247,0.0010880435991224569
2MASS_J16215472-2752053,159.3,119.78613281250001,0.77783203125,0.77783203125,94.8955078125,0.77783203125,0.0,65.43463880602673,0.2244260488565999,0.2365849150859134,206.53191109870642,0.24567895881889967,0.17752092610518844,0.8434758394629865,0.004508136480988578,0.004250577671509048,110.44651334389151,1.8461815190809858,1.6374816341588172,0.1809724683227295,0.01199921094487194,0.02140755039735709,1.2381473789268882,0.0390883586286872,0.06334593013765488,121.52017408686355,1.364144793023769,1.3180620547402384,-0.6709738178170559,0.006220319979850508,0.007412439361848988,100.05271738203977,2.181183472858109,1.4602814394047243,9.15645310040073,0.6631569948944964,0.5293024475423902,4.974072736214352,0.0396218985831478,0.020199564626824262,-0.02859886303627748,0.04701289564520396,0.020968027256428535,9.224863739309926,1.5406692527597317,0.5496327105556329,7427.740343347868,4.5413708477117325,4.5450318186431105,-0.10524224530820682,0.0008037011261063376,0.00085393793516024,-0.5012781123396639,0.0009083496816628678,0.0008516449940630944
2MASS_J16221532-2511349,139,91.6259765625,0.6787109375,0.6787109375,74.658203125,0.6787109375,0.6787109375,54.60618079464819,0.4465162732500545,0.3995556803435889,15.64107593779473,0.3253764565289927,0.29773380990534015,0.46620146390773065,0.004982398853147774,0.005327406676160218,94.49878350323081,2.9094774778231027,2.6213771438303013,0.2586903152258412,0.02042010863860594,0.02644166743983517,1.2393722731837886,0.06124431845920042,0.07468118127806811,56.54224068732786,1.135436144788322,0.9332895594314721,-0.4812719230483049,0.010794898053658963,0.012574869374024689,76.41085927328771,1.0160343023363794,0.8619405968788953,9.732772805810177,0.43214695044724216,0.21204062466642348,4.973902817008489,0.046596574066163576,0.019529273865144248,-0.029563901826183406,0.04824211913191555,0.021119126093166518,8.182566807629115,1.4347865498016708,1.1747934127050446,3516.4094860915116,5.423807032229888,4.631502644146622,-0.07842655454889397,0.0018144677344387322,0.0016601345779531373,-0.4616248179407641,0.0011041643543182045,0.001111387917576867
2MASS_J16222982-2002472,126,80.595703125,0.615234375,0.615234375,64.599609375,0.615234375,0.0,17.4224238714641,0.9312685063623611,0.9323640872039576,148.64251559064485,0.2501709805545431,0.19422722492168987,1.369751458504052,0.1322425902675186,0.14804549703346948,161.77941141066498,4.439910112020698,5.6567503014556735,0.012351941315814777,0.008403628653505728,0.012158670608463143,1.2944438810306793,0.08479229109497477,0.06289397474629155,101.0510654109683,0.8866347159648598,1.143013808726053,-0.629232927363822,0.007900108250509241,0.00532535764831954,3.652703241190503,0.4533927570866756,1.463432537500771,1.0856869727271712,0.03980199771423343,0.10894676464645525,17.57569136082812,0.7918217760311386,0.5358608784439838,-4.68025842857464,0.2235398432319995,0.4870617322028634,21.16122317158687,14.40059958127597,22.154733108155433,2268.2892528254592,3.5321592225245695,2.70970636384709,-0.03804864856771446,0.00080410808646212,0.000796145335531552,-0.5238768296438339,0.0007427007809446273,0.0007126734776601307
2MASS_J16230761-2516339,136.9,63.169189453125,1.7780957031249969,1.671142578125,48.12890625,0.66845703125,0.66845703125,63.24082971075063,1.182406081697657,1.2663241074992868,88.25056702346536,0.5795566435269137,0.6448744379750764,0.36602401079945696,0.010362238945000712,0.009033657957012331,96.72382336365193,6.833529477583838,7.13088916026085,0.3601762954189981,0.03511136778838431,0.027655826331884736,1.1833778803452764,0.06501423205383228,0.06453505555612216,72.68179474468491,2.6708840856304477,2.929060119343731,-0.4026225167264825,0.045203628959390785,0.03479519221804872,70.26236191105693,5.360182505909108,4.648357232336849,4.1269595945673725,1.0420847836470473,2.1422300560899235,2.8212228032920126,0.36069237061996207,0.22261455449257372,-3.5805521840088916,0.2885779429249129,0.4431144598273673,5.340213147759599,1.2519587267282732,1.3389767022653078,3825.571963596502,16.640729778674995,17.1807851322028,-0.09420720751179416,0.0023760924091741353,0.002759767479785402,-0.5059219226555711,0.002194644054278272,0.00192578869345017
